"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Development\cobalt\src\app\api\trpc\[trpc]\route.ts", "TypeScript", 0, 26, 0, 0, 4, 5, 35
"d:\Development\cobalt\src\app\app-config.ts", "TypeScript", 0, 33, 0, 0, 0, 1, 34
"d:\Development\cobalt\src\app\layout.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 6, 40
"d:\Development\cobalt\src\app\not-found.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 1, 11
"d:\Development\cobalt\src\app\whoami\route.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"d:\Development\cobalt\src\components\admin\hooks.ts", "TypeScript", 0, 7, 0, 0, 0, 1, 8
"d:\Development\cobalt\src\components\admin\products\set-category.tsx", "TypeScript JSX", 102, 0, 0, 0, 0, 3, 105
"d:\Development\cobalt\src\components\admin\sidebar\index.tsx", "TypeScript JSX", 79, 0, 0, 0, 0, 4, 83
"d:\Development\cobalt\src\components\admin\sidebar\logout.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 2, 17
"d:\Development\cobalt\src\components\animated-cancel.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 4, 57
"d:\Development\cobalt\src\components\animated-checkmark.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 4, 58
"d:\Development\cobalt\src\components\cart\add.tsx", "TypeScript JSX", 62, 0, 0, 0, 1, 2, 65
"d:\Development\cobalt\src\components\cart\index.ts", "TypeScript", 0, 58, 0, 0, 0, 5, 63
"d:\Development\cobalt\src\components\client-config.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 3, 15
"d:\Development\cobalt\src\components\contexts\user.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 2, 16
"d:\Development\cobalt\src\components\debounced-input.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 1, 26
"d:\Development\cobalt\src\components\framer\animation-context.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 3, 26
"d:\Development\cobalt\src\components\framer\pop-in.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 3, 33
"d:\Development\cobalt\src\components\framer\slide-down.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 3, 10
"d:\Development\cobalt\src\components\framer\slide-up.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 3, 10
"d:\Development\cobalt\src\components\framer\slide.tsx", "TypeScript JSX", 89, 0, 0, 0, 2, 4, 95
"d:\Development\cobalt\src\components\header\cart\popover.tsx", "TypeScript JSX", 92, 0, 0, 0, 0, 2, 94
"d:\Development\cobalt\src\components\header\index.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 1, 13
"d:\Development\cobalt\src\components\header\main.tsx", "TypeScript JSX", 81, 0, 0, 0, 0, 5, 86
"d:\Development\cobalt\src\components\header\mobile.tsx", "TypeScript JSX", 86, 0, 0, 0, 31, 5, 122
"d:\Development\cobalt\src\components\header\store\index.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 2, 12
"d:\Development\cobalt\src\components\header\store\login\edition-select.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 3, 52
"d:\Development\cobalt\src\components\header\store\login\index.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 1, 41
"d:\Development\cobalt\src\components\header\store\login\login-form.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 3, 62
"d:\Development\cobalt\src\components\header\store\main.tsx", "TypeScript JSX", 106, 0, 0, 0, 18, 4, 128
"d:\Development\cobalt\src\components\header\store\mobile.tsx", "TypeScript JSX", 86, 0, 0, 0, 31, 5, 122
"d:\Development\cobalt\src\components\markdown\editor\editor.css", "CSS", 0, 0, 4, 0, 0, 1, 5
"d:\Development\cobalt\src\components\markdown\editor\index.tsx", "TypeScript JSX", 58, 0, 0, 0, 4, 5, 67
"d:\Development\cobalt\src\components\pages\error\index.tsx", "TypeScript JSX", 87, 0, 0, 0, 0, 7, 94
"d:\Development\cobalt\src\components\player-skin.tsx", "TypeScript JSX", 35, 0, 0, 0, 1, 2, 38
"d:\Development\cobalt\src\components\tree\index.tsx", "TypeScript JSX", 118, 0, 0, 0, 0, 14, 132
"d:\Development\cobalt\src\components\ui\badge.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 6, 37
"d:\Development\cobalt\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 11, 116
"d:\Development\cobalt\src\components\ui\button.tsx", "TypeScript JSX", 132, 0, 0, 0, 1, 8, 141
"d:\Development\cobalt\src\components\ui\card.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 9, 77
"d:\Development\cobalt\src\components\ui\checkbox.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 5, 31
"d:\Development\cobalt\src\components\ui\confetti.tsx", "TypeScript JSX", 105, 0, 0, 0, 5, 20, 130
"d:\Development\cobalt\src\components\ui\data-table.tsx", "TypeScript JSX", 172, 0, 0, 0, 9, 4, 185
"d:\Development\cobalt\src\components\ui\dialog.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 14, 123
"d:\Development\cobalt\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 187, 0, 0, 0, 0, 19, 206
"d:\Development\cobalt\src\components\ui\form.tsx", "TypeScript JSX", 153, 0, 0, 0, 0, 26, 179
"d:\Development\cobalt\src\components\ui\hidden.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 2, 5
"d:\Development\cobalt\src\components\ui\hover-card.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 7, 30
"d:\Development\cobalt\src\components\ui\hover-confetti.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 4, 43
"d:\Development\cobalt\src\components\ui\input.tsx", "TypeScript JSX", 72, 0, 0, 0, 0, 7, 79
"d:\Development\cobalt\src\components\ui\label.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 6, 27
"d:\Development\cobalt\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 117, 0, 0, 0, 0, 12, 129
"d:\Development\cobalt\src\components\ui\popover.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 8, 34
"d:\Development\cobalt\src\components\ui\scroll-area.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 6, 49
"d:\Development\cobalt\src\components\ui\select.tsx", "TypeScript JSX", 151, 0, 0, 0, 0, 14, 165
"d:\Development\cobalt\src\components\ui\separator.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 5, 32
"d:\Development\cobalt\src\components\ui\sheet.tsx", "TypeScript JSX", 125, 0, 0, 0, 0, 16, 141
"d:\Development\cobalt\src\components\ui\sidebar.tsx", "TypeScript JSX", 697, 0, 0, 0, 12, 56, 765
"d:\Development\cobalt\src\components\ui\skeleton.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 3, 16
"d:\Development\cobalt\src\components\ui\sonner.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 6, 32
"d:\Development\cobalt\src\components\ui\spinner.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 2, 53
"d:\Development\cobalt\src\components\ui\switch.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 5, 30
"d:\Development\cobalt\src\components\ui\table.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 11, 121
"d:\Development\cobalt\src\components\ui\tabs.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 8, 56
"d:\Development\cobalt\src\components\ui\tooltip.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 8, 33
"d:\Development\cobalt\src\env.js", "JavaScript", 0, 0, 0, 51, 22, 5, 78
"d:\Development\cobalt\src\hooks\use-mobile.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 5, 20
"d:\Development\cobalt\src\lib\permissions.ts", "TypeScript", 0, 24, 0, 0, 1, 3, 28
"d:\Development\cobalt\src\lib\utils\cart.ts", "TypeScript", 0, 9, 0, 0, 0, 1, 10
"d:\Development\cobalt\src\lib\utils\index.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"d:\Development\cobalt\src\lib\utils\persist.ts", "TypeScript", 0, 20, 0, 0, 1, 5, 26
"d:\Development\cobalt\src\middleware.ts", "TypeScript", 0, 10, 0, 0, 7, 2, 19
"d:\Development\cobalt\src\server\actions\auth.ts", "TypeScript", 0, 42, 0, 0, 0, 6, 48
"d:\Development\cobalt\src\server\actions\markdown.ts", "TypeScript", 0, 26, 0, 0, 0, 2, 28
"d:\Development\cobalt\src\server\api\root.ts", "TypeScript", 0, 15, 0, 0, 13, 5, 33
"d:\Development\cobalt\src\server\api\routers\categories.ts", "TypeScript", 0, 266, 0, 0, 6, 3, 275
"d:\Development\cobalt\src\server\api\routers\checkout.ts", "TypeScript", 0, 33, 0, 0, 0, 2, 35
"d:\Development\cobalt\src\server\api\routers\products.ts", "TypeScript", 0, 174, 0, 0, 15, 6, 195
"d:\Development\cobalt\src\server\api\routers\settings.ts", "TypeScript", 0, 21, 0, 0, 0, 1, 22
"d:\Development\cobalt\src\server\api\routers\utils.ts", "TypeScript", 0, 16, 0, 0, 0, 1, 17
"d:\Development\cobalt\src\server\api\trpc.ts", "TypeScript", 0, 88, 0, 0, 67, 19, 174
"d:\Development\cobalt\src\server\db\index.ts", "TypeScript", 0, 10, 0, 0, 4, 5, 19
"d:\Development\cobalt\src\server\db\schema.ts", "TypeScript", 0, 176, 0, 0, 8, 15, 199
